id,url,score,name,rank,n_reviews,city,Utmärkt,Hemskt,tags,Mycket bra,Medelmåttigt,county,Dåligt
52,https://www.tripadvisor.se/Attraction_Review-g189852-d208296-Reviews-Skansen_Open_Air_Museum-Stockholm.html,4.5,Skansen,5,5438,Stockholm,150,4,Specialmuseer|Museer,141,43,Stockholms län›,8
53,https://www.tripadvisor.se/Attraction_Review-g189852-d3566460-Reviews-Monteliusvagen-Stockholm.html,4.5,Monteliusvägen,6,420,Stockholm,35,0,Historiska promenadområden|Sevärdheter och landmärken,22,0,Stockholms län›,0
54,https://www.tripadvisor.se/Attraction_Review-g189852-d1804218-Reviews-Fotografiska-Stockholm.html,4.5,Fotografiska,7,2690,Stockholm,273,5,Specialmuseer|Museer,189,31,Stockholms län›,15
55,https://www.tripadvisor.se/Attraction_Review-g189852-d4182487-Reviews-ABBA_The_Museum-Stockholm.html,4.5,ABBA The Museum,8,2978,Stockholm,176,2,Specialmuseer|Museer,146,37,Stockholms län›,8
57,https://www.tripadvisor.se/Attraction_Review-g189852-d2298827-Reviews-Stockholm_Canals-Stockholm.html,4.5,Stockholm Canals,10,1135,Stockholm,21,0,Vattendrag|Natur och parker,13,4,Stockholms län›,0
58,https://www.tripadvisor.se/Attraction_Review-g189852-d621235-Reviews-Ostermalm_Saluhall-Stockholm.html,4.5,Östermalm Saluhall,11,1038,Stockholm,38,2,Loppmarknader och torghandel|Shopping,36,7,Stockholms län›,0
59,https://www.tripadvisor.se/Attraction_Review-g189852-d244312-Reviews-Prins_Eugens_Waldemarsudde-Stockholm.html,4.5,Prins Eugens Waldemarsudde,12,370,Stockholm,56,0,Konstmuseer|Parker|Specialmuseer|Natur och parker|Museer|Mer,34,3,Stockholms län›,0
60,https://www.tripadvisor.se/Attraction_Review-g189852-d208281-Reviews-Drottningholm_Palace-Stockholm.html,4.5,Drottningholms Slott,13,1495,Stockholm,45,1,Arkitektoniska byggnader|Slott|Historiska platser|Teatrar|Sevärdheter och landmärken|Konserter och föreställningar|Mer,47,8,Stockholms län›,0
61,https://www.tripadvisor.se/Attraction_Review-g189852-d313576-Reviews-Junibacken-Stockholm.html,4.5,Junibacken,14,934,Stockholm,31,6,Temaparker|Vatten- och nöjesparker,37,24,Stockholms län›,13
62,https://www.tripadvisor.se/Attraction_Review-g189852-d246218-Reviews-Sodermalm-Stockholm.html,4.5,Södermalm,15,983,Stockholm,59,2,Öar|Område|Natur och parker|Sevärdheter och landmärken,37,8,Stockholms län›,1
63,https://www.tripadvisor.se/Attraction_Review-g189852-d5038204-Reviews-Stortorget-Stockholm.html,4.5,Stortorget,16,396,Stockholm,11,0,Intressanta platser och landmärken|Sevärdheter och landmärken,26,4,Stockholms län›,0
64,https://www.tripadvisor.se/Attraction_Review-g189852-d246017-Reviews-Skeppsholmen-Stockholm.html,4.5,Skeppsholmen,17,386,Stockholm,18,0,Öar|Natur och parker,22,4,Stockholms län›,0
65,https://www.tripadvisor.se/Attraction_Review-g189852-d4041660-Reviews-Stockholms_Stadsbibliotek-Stockholm.html,4.5,Stockholms Stadsbibliotek,18,200,Stockholm,17,0,Bibliotek|Resurser för resenärer,13,2,Stockholms län›,0
66,https://www.tripadvisor.se/Attraction_Review-g189852-d313587-Reviews-Rosendals_Garden-Stockholm.html,4.5,Rosendals Trädgård,19,379,Stockholm,28,1,Annan natur och parker|Trädgårdar|Natur och parker,50,12,Stockholms län›,2
67,https://www.tripadvisor.se/Attraction_Review-g189852-d208173-Reviews-Royal_Palace-Stockholm.html,4.0,Kungliga Slottet,20,2338,Stockholm,34,0,Slott|Historiska museer|Sevärdheter och landmärken|Museer,43,18,Stockholms län›,3
68,https://www.tripadvisor.se/Attraction_Review-g189852-d208275-Reviews-Moderna_Museet_Stockholm-Stockholm.html,4.0,Moderna Museet - Stockholm,21,729,Stockholm,23,1,Konstmuseer|Museer,20,12,Stockholms län›,3
69,https://www.tripadvisor.se/Attraction_Review-g189852-d208172-Reviews-Stockholm_Cathedral-Stockholm.html,4.0,Storkyrkan,22,696,Stockholm,15,0,Monument och statyer|Arkitektoniska byggnader|Heliga och religiösa platser|Historiska platser|Kyrkor och katedraler|Sevärdheter och landmärken|Mer,19,3,Stockholms län›,2
70,https://www.tripadvisor.se/Attraction_Review-g189852-d208052-Reviews-Medieval_Museum-Stockholm.html,4.5,Medeltidsmuseet,23,301,Stockholm,15,0,Historiska museer|Specialmuseer|Museer,21,4,Stockholms län›,1
71,https://www.tripadvisor.se/Attraction_Review-g189852-d208280-Reviews-Royal_Armoury-Stockholm.html,4.5,Livrustkammaren,24,327,Stockholm,29,0,Specialmuseer|Museer,33,6,Stockholms län›,0
